cp,commune,ramassage blanche unix,ramassage blanche unix2,ramassage bleue unix,ramassage jaune unix,ramassage verte unix,ramassage orange unix
1070,Anderlecht,1559624400,1559883600,1559624400,1559883600,1559908800,1559908800
1000,Bruxelles,1559538000,1559797200,1559538000,1559797200,1559797200,1559797200
1050,Ixelles,1559538000,1559822400,1559538000,1559797200,1559822400,1559822400
1040,Etterbeek,1559710800,1559970000,1559710800,1559710800,1559736000,1559736000
1140,Evere,1559624400,1559883600,1559624400,1559883600,1559908800,1559908800
1083,Ganshoren,1559624400,1559883600,1559624400,1559883600,1559649600,1559649600
1090,Jette,1559624400,1559883600,1559624400,1559883600,1559649600,1559649600
1081,Koelkelberg,1559624400,1559883600,1559624400,1559883600,1559649600,1559649600
1160,Auderghem,1559710800,1559970000,1559736000,1559710800,1559736000,1559736000
1030,Schaerbeek,1559710800,1559970000,1559710800,1559710800,1559736000,1559736000
1082,Berchem-Sainte-Agathe,1559624400,1559883600,1559624400,1559883600,1559649600,1559649600
1060,Saint-Gilles,1559538000,1559822400,1559538000,1559797200,1559822400,1559822400
1080,Molenbeek-Saint-Jean,1559624400,1559883600,1559624400,1559883600,1559908800,1559908800
1210,Saint-Josse-ten-Noode,1559710800,1559970000,1559710800,1559710800,1559736000,1559736000
1200,Woluwe-Saint-Lambert,1559624400,1559883600,1559624400,1559883600,1559908800,1559908800
1180,Uccle,1559538000,1559797200,1559538000,1559797200,1559563200,1559563200
1190,Forest,1559538000,1559797200,1559538000,1559797200,1559822400,1559822400
1170,Watermael-Boitsfort,1559710800,1559970000,1559736000,1559710800,1559736000,1559736000
1020,Laeken,1559538000,1559797200,1559538000,1559797200,1559822400,1559822400
